Key,English
attSurvivalRank07LongDesc,"Food and water consumption is decreased by 18%."
attSurvivalRank08Desc,"Resilient Woodsman"
attSurvivalRank08LongDesc,"Food and water consumption is decreased by 21%."
attSurvivalRank09Desc,"Light Footed"
attSurvivalRank09LongDesc,"Food and water consumption is decreased by 25%."
attSurvivalRank10Desc,"Skinner"
attSurvivalRank10LongDesc,"Food and water consumption is decreased by 30%."
attluck,"Luck"
attLuckDesc,"Luck is the measure of your ability to find the good stuff. Increasing Luck will increase your loot gamestage."
attLuckName,"Attribute: Luck"
attLuckRank01Desc,"Rabbit's Foot"
attLuckRank01LongDesc,"Loot gamestage is normal."
attLuckRank02Desc,"Lucky Penny"
attLuckRank02LongDesc,"Loot gamestage is increased by 5%."
attLuckRank03Desc,"Wishbone"
attLuckRank03LongDesc,"Loot gamestage is increased by 10%."
attLuckRank04Desc,"Four-leaf Clover"
attLuckRank04LongDesc,"Loot gamestage is increased by 15%."
attLuckRank05Desc,"Double Rainbow"
attLuckRank05LongDesc,"Loot gamestage is increased by 20%."
attLuckRank06Desc,"Lucky Horseshoe"
attLuckRank06LongDesc,"Loot gamestage is increased by 25%."
attLuckRank07Desc,"Lucky Number Seven"
attLuckRank07LongDesc,"Loot gamestage is increased by 30%."
attLuckRank08Desc,"Dreamcatcher"
attLuckRank08LongDesc,"Loot gamestage is increased by 35%."
attLuckRank09Desc,"Odin's Acorn"
attLuckRank09LongDesc,"Loot gamestage is increased by 40%."
attLuckRank10Desc,"Lucky Duke Token"
attLuckRank10LongDesc,"Loot gamestage is increased by 50%."
perkBrawlerRank5LongDesc,"You are now a complete mixed martial artist and a registered lethal weapon. Can now craft quality 6 excellent knuckles. Deal 50% more damage and have a higher chance to explode heads with punches."
perkPummelPeteDesc,"Specialize in knocking your foes senseless with clubs, sledges and bats."
perkPummelPeteName,"Pummel Pete's Skullcrusher"
perkPummelPeteRank1LongDesc,"You might not pack a punch but as a roughneck you can swing a club or sledge! Craft quality 2 poor clubs, and deal 10% more damage and attacks do 40% more damage to stunned enemies with them. Power attacks have a 60% chance to knock foes back down.\nCraft quality 2 poor sledgehammers and deal 10% more damage. 15% chance to knock down enemies with power attacks.\nUnlocks baseball bat and iron sledge crafting."
perkPummelPeteRank2LongDesc,"You are making a name for yourself as a dangerous thug. Craft quality 3 fair clubs, deal 20% more damage, attacks do 80% more damage to stunned enemies and power attacks have a 70% chance to knock foes back down.\nCraft quality 3 fair sledgehammers and deal 20% more damage. 30% chance to knock down enemies with power attacks."
perkPummelPeteRank3LongDesc,"You hit hard enough to be in the big leagues now. Craft quality 4 good clubs, deal 30% more damage, attacks do 120% more damage to stunned enemies and power attacks have a 80% chance to knock foes back down. Landing 5 successive hits in a short time causes the last blow to do 100% extra damage.\nCraft quality 4 good sledgehammers and deal 30% more damage. Power attacks have a 45% chance to knock down enemies and a 20% chance to knock down nearby foes."
perkPummelPeteRank4LongDesc,"When you said stay down you meant it. Craft quality 5 great clubs, deal 40% more damage, attacks do 160% more damage to stunned enemies and power attacks have a 90% chance to knock foes back down. 4 successive hits in a short time causes the last blow to do 100% extra damage.\nCraft quality 5 great sledgehammers and deal 40% more damage. Power attacks have a 60% chance to knock down enemies and a 35% chance to knock down nearby foes."
perkPummelPeteRank5LongDesc,"Pummel Pete once took on 50 zombies with just a club and he would be proud of you. Can now craft quality 6 excellent clubs and sledges. With clubs, now deal 50% more damage, attacks do 200% more damage to stunned enemies and power attacks have a 100% chance to knock foes back down. 3 successive hits in a short time causes the last blow to do 100% extra damage.\nWith sledges, now deal 50% more damage. Power attacks have a 75% chance to knock down enemies and a 50% chance to knock down nearby foes."
perkJavelinMasterRank3LongDesc,"You are now a Spearman and can Craft quality 4 good spears. Spears inflict 30% more damage and have 30% more range when thrown.\nUnlocks Fish Spear crafting."
perkJavelinMasterRank5LongDesc,"You are now a Javelin Master and if this wasn't the apocalypse you could be in the Olympics. Can now craft quality 6 excellent spear weapons. Spears do 50% more damage and have 50% more range."
perkPackMuleRank3LongDesc,"You know exactly where everything is. Carry three additional items without being encumbered."
perkPackMuleRank4LongDesc,"You just passed inspection, private. Carry three more items without being encumbered."
perkPackMuleRank5LongDesc,"Now you are just showing off, you are either part mule or a strongman. Carry three more items without being encumbered."
perkHeavyGunnerName,"Heavy Gunner"
perkHeavyGunnerDesc,"Learn how to handle the big guns. Lowers recoil and spread on heavy weapons, such as the minigun or incinerator."
perkHeavyGunnerRank1Desc,"Harpoon Enthusiast"
perkHeavyGunnerRank1LongDesc,"Just don't think about your arms right now. Craft quality 2 poor heavy weapons. Heavy guns now have 5% less recoil and spread, as well as doing 5% more damage.\nUnlocks Harpoon Gun crafting."
perkHeavyGunnerRank2Desc,"Incinerator Paladin"
perkHeavyGunnerRank2LongDesc,"It's not that heavy, is it? Craft quality 3 fair heavy weapons. All heavy guns have 10% less recoil and spread, and do 10% more damage."
perkHeavyGunnerRank3Desc,"Railroad Worker"
perkHeavyGunnerRank3LongDesc,"Hold her steady! Craft quality 4 good heavy weapons. Heavy guns now have 15% less recoil and spread, and hit 15% harder.\nUnlocks Railway Rifle crafting."
perkHeavyGunnerRank4Desc,"Minigun Marauder"
perkHeavyGunnerRank4LongDesc,"Barely even notice it now. Craft quality 5 great heavy weapons. Big guns have 20% less recoil and spread, as well as 20% more damage."
perkHeavyGunnerRank5Desc,"Fatman Fanatic"
perkHeavyGunnerRank5LongDesc,"Is this thing a toy? Craft quality 6 excellent heavy weapons. Enjoy 25% less recoil and spread, and 25% more damage on all heavy weapons."
perkMiner69rRank5LongDesc,"You are the legendary Miner 69'r and can find the juicy center of any rock faster than a horny bullfrog. Craft quality 6 excellent tools. Increase damage by 50% and block damage by 150% with any axe, pick, chainsaw or auger."
perkSteadyAimName,"Steady Aim"
perkSteadyAimDesc,"Learn how to do better spraying and less praying. Hip-fire accuracy is improved on all weapons."
perkSteadyAimRank1Desc,"Loose Cannon"
perkSteadyAimRank1LongDesc,"Gonna have to hold it better than that. All guns now have 5% less recoil and spread."
perkSteadyAimRank2Desc,"Suppressing Fire"
perkSteadyAimRank2LongDesc,"Still not that accurate, but it scares people at leat. All heavy guns have 10% less recoil and spread."
perkSteadyAimRank3Desc,"New Recruit"
perkSteadyAimRank3LongDesc,"Finally, some progress! Heavy guns now have 15% less recoil and spread."
perkSteadyAimRank4Desc,"Steady Hands"
perkSteadyAimRank4LongDesc,"Solid. All guns have 20% less recoil and spread."
perkSteadyAimRank5Desc,"Never Aim"
perkSteadyAimRank5LongDesc,"ADS? Never heard of her! Guns now have 25% less recoil and spread."
perkArmorerName,"Armorer"
perkArmorerDesc,"Learn how to craft various armor mods to help you survive."
perkArmorerRank1Desc,"Tinkerer"
perkArmorerRank1LongDesc,"Not bad for a beginner! You can now craft Insulated Liner, Cooling Mesh, Improved Fittings, and Helmet Light mods."
perkArmorerRank2Desc,"Hobbyist"
perkArmorerRank2LongDesc,"Duct tape can do anything! You can now craft Customized Fittings, Basic Plating, and Storage Pocket mods."
perkArmorerRank3Desc,"Advanced Noob"
perkArmorerRank3LongDesc,"These might keep you alive. You can now craft Reinforced Plating, Double Storage Pocket, Muffled Connectors, and Impact Bracing mods."
perkArmorerRank4Desc,"Jury Rigger"
perkArmorerRank4LongDesc,"Top notch work! You can now craft Bandolier, Advanced Muffled Connectors, and Water Purifier mods."
perkArmorerRank5Desc,"MacGyver"
perkArmorerRank5LongDesc,"Time to teach some classes with these skills! You can now craft Extra Insulation, Breathable Mesh, Tempered Plating, and Triple Storage Pocket mods."
perkBlacksmithName,"Blacksmith"
perkBlacksmithDesc,"Learn how to craft various melee mods to help you fend off your enemies."
perkBlacksmithRank1Desc,"Amateur"
perkBlacksmithRank1LongDesc,"Not bad for a beginner! You can now craft Tempered Blade, Serrated Blade, and Weighted Head mods."
perkBlacksmithRank2Desc,"Riveter"
perkBlacksmithRank2LongDesc,"Duct tape can do anything! You can now craft Structural Brace, Ergonomic Grip, and Fireman's Axe mods."
perkBlacksmithRank3Desc,"Metalworker"
perkBlacksmithRank3LongDesc,"These might keep you alive. You can now craft Barbed Wire, Fortifying Grip, Metal Spikes, and Metal Chain mods."
perkBlacksmithRank4Desc,"Temperer"
perkBlacksmithRank4LongDesc,"Top notch work! You can now craft Grave Digger, Bunker Buster, Wood Splitter, and Small Fuel Tank mods."
perkBlacksmithRank5Desc,"Master Forger"
perkBlacksmithRank5LongDesc,"Time to teach some classes with these skills! You can now craft Large Fuel Tank, Diamond Tip, Iron Breaker, and Burning Shaft mods."
perkSteelResolveName,"Steel Resolve"
perkSteelResolveDesc,"Hold your ground! Take less damage, deal more melee damage, and increase your resistance to stun debuffs while not moving."
perkSteelResolveRank1Desc,"Steadfast"
perkSteelResolveRank1LongDesc,"Hold still and focus! When not moving gain 10% melee damage, take 10% less damage, and 20% stun debuff resistance."
perkSteelResolveRank2Desc,"Unwavering"
perkSteelResolveRank2LongDesc,"Don't give an inch! When not moving gain 20% melee damage, take 20% less damage, and 40% stun debuff resistance."
perkSteelResolveRank3Desc,"Still Strength"
perkSteelResolveRank3LongDesc,"Make them come to you! When not moving gain 30% melee damage, take 30% less damage, and 60% stun debuff resistance."
perkSteelResolveRank4Desc,"Entrenched"
perkSteelResolveRank4LongDesc,"Steady now! When not moving gain 40% melee damage, take 40% less damage, and 80% stun debuff resistance."
perkSteelResolveRank5Desc,"Rooted"
perkSteelResolveRank5LongDesc,"Time to make like a tree! When not moving gain 50% melee damage, take 50% less damage, and 100% stun debuff resistance."
perkLockPickingRank1LongDesc,"You are starting to make a name for yourself. You can pick locks 10% faster and have a 10% lower chance to break lockpicks. Craft lockpicks."
perkLockPickingRank2LongDesc,"You are now a lock smith and few locks will keep you out. You can pick locks 20% faster and have a 20% lower chance to break lockpicks."
perkLockPickingRank3LongDesc,"You are now a world class safe cracker. You can pick locks 30% faster and have a 30% lower chance to break lockpicks."
perkLockPickingRank4Desc,"Heistman"
perkLockPickingRank4LongDesc,"You could probably rob a bank in no time now. You can pick locks 40% faster and have a 40% lower chance to break lockpicks."
perkLockPickingRank5Desc,"Tumbler Master"
perkLockPickingRank5LongDesc,"It's like you created these locks yourself. You can pick locks 50% faster and have a 50% lower chance to break lockpicks."
perkSalvageOperationsRank3LongDesc,"You seem to have a knack for salvaging more useful parts than the average scrapper. Craft quality 4 good salvage tools. Deal 30% more damage, harvest 60% faster and gains 60% more resources with a wrench, ratchet or impact driver.\nUnlocks ratchet crafting."
perkSalvageOperationsRank5LongDesc,"You are king of the junk dealers and envy of the grease monkeys of the apocalypse. Craft quality 6 excellent salvage tools. Deal 50% more damage, harvest 100% faster and gains 100% more resources with a wrench, ratchet or impact driver."
perkDeadEyeDesc,"Specialize in taking keen aim with non-automatic rifles and shotguns to waste your target with an expertly-placed bullet. One shot, one kill."
perkDeadEyeName,"Rifleman"
perkDeadEyeRank1LongDesc,"You can hit the broad side of a barn and do 10% more damage with rifles. Craft quality 2 poor rifles and shotguns, aim and reload 10% faster.\nUnlocks hunting rifle, double barrel, Henry, and antique shotgun crafting."
perkDeadEyeRank2LongDesc,"You are a rifleman and can hit a large rock at 30 yards. Craft quality 3 fair rifles and shotguns. Deal 20% more damage, aim 20% faster, reload 15% faster.\nUnlocks triple barrel shotgun crafting."
perkDeadEyeRank3LongDesc,"You are now a marksman and can hold your own. Craft quality 4 good rifles and shotguns. Deal 30% more damage , aim 32% faster, reload 20% faster and use 10% less stamina while aiming.\nKill Streak: Successive kills increase damage bonus by 10%, 20% to a maximum of 30%.\nUnlocks the Wasteland lever action rifle crafting."
perkDeadEyeRank4LongDesc,"You are now a sharpshooter. Craft quality 5 great rifles and shotguns. Deal 40% more damage, aim 45% faster, reload 25% faster, and use 20% less stamina while aiming.\nKill Streak: Successive kills increase damage bonus by 20%, 30% to a maximum of 40%.\nUnlocks lever action rifle and pump shotgun crafting."
perkDeadEyeRank5LongDesc,"Through all the hard training, you are now a dead eye sniper. Craft quality 6 excellent rifles and shotguns. Deal 50% more damage, aim 60% faster, reload 30% faster, and use 30% less stamina while aiming.\nKill Streak: Successive kills increase damage bonus by 30%, 40% up to a maximum of 50%.\nHits to the legs will now also slow targets temporarily."
perkLuckyLooterRank1LongDesc,"You've got a slim chance to find better loot. Adds 5% to loot bonus for containers that you open personally. Looting is 15% faster."
perkLuckyLooterRank2LongDesc,"Your luck is improving and no matter where you look you seem to find something good. Adds 15% to loot bonus. Looting is 30% faster."
perkLuckyLooterRank3LongDesc,"Adds 25% to loot bonus. Looting is 45% faster."
perkLuckyLooterRank4LongDesc,"You just seem to be blessed with finding great loot everywhere you look. Adds 35% to loot bonus. Looting is 60% faster."
perkLuckyLooterRank5LongDesc,"The Lucky Looter. You are on a roll and the dice are loaded. Adds 40% to loot bonus. Looting is 80% faster."
perkConcentratedFireName,"Concentrated Fire"
perkConcentratedFireDesc,"Stay focused! Hitting your shots has improved your damage when aiming down sights."
perkConcentratedFireRank1Desc,"One Eye Open"
perkConcentratedFireRank1LongDesc,"You now do 5% more damage when aiming down sights."
perkConcentratedFireRank2Desc,"Slightly Distracted"
perkConcentratedFireRank2LongDesc,"Pay attention! Deal out 10% extra damage while ADS."
perkConcentratedFireRank3Desc,"Perceptive"
perkConcentratedFireRank3LongDesc,"ADS and deal 15% more damage."
perkConcentratedFireRank4Desc,"Well Attuned"
perkConcentratedFireRank4LongDesc,"Eyes open! You now deal 20% more damage when aiming down sights, and also have a 10% higher chance to dismember your foes."
perkConcentratedFireRank5Desc,"Laser Focus"
perkConcentratedFireRank5LongDesc,"Sharp as lasers, you are! Now deal 25% extra damage and and 25% higher chance to dismember enemies while ADS."
perkDemolitionsExpertRank1LongDesc,"You are now a grenadier initiate, be careful with those explosives. Craft quality 2 poor explosive weapons. Increase damage 10%, 50% chance to stun enemies and a 5% greater chance to dismember.\nCraft pipe bombs, pressure plate and cooking pot mines."
perkDemolitionsExpertRank2LongDesc,"Craft quality 3 fair explosive weapons. Increase damage by 20%, 100% chance to stun enemies, and a 10% greater chance to dismember.\nCraft dynamite and hubcap land mines."
perkDemolitionsExpertRank3LongDesc,"You are now an explosives handler. Craft quality 4 good explosive weapons. Increase damage 30%, have a 33% chance to cripple enemies and a 15% greater chance to dismember.\nCraft grenades and more efficient stacks of gunpowder, as well as the M79 launcher and its ammo types."
perkDemolitionsExpertRank4LongDesc,"You are now a Rocket Man. Craft quality 5 great explosive weapons. Increase damage 40%, have a 66% chance to cripple enemies and a 25% greater chance to dismember.\nCraft high explosive rockets and anti-personnel fragmentation rockets."
perkDemolitionsExpertRank5LongDesc,"You make things go boom in a big way. Craft quality 6 excellent explosive weapons. Increase damage 50%, 35% greater chance to dismember. Stun lasts longer on enemies.\nCraft timed charges, contact grenades and air filter land mines, as well as the Incinerator and its ammo."
perkNightOwlName,"Night Owl"
perkNightOwlDesc,"You feel at home in the darkness. Gain health and skill bonuses during the night."
perkNightOwlRank1Desc,"Owling"
perkNightOwlRank1LongDesc,"At night your Intellect and Perception are increased by one."
perkNightOwlRank2Desc,"Barn Owl"
perkNightOwlRank2LongDesc,"The night sky refreshes you. Gain 10 max health at night."
perkNightOwlRank3Desc,"Spotted Owl"
perkNightOwlRank3LongDesc,"Gain another level of Intellect and Perception during the nighttime."
perkNightOwlRank4Desc,"Horned Owl"
perkNightOwlRank4LongDesc,"During the night you gain 20 total max health."
perkNightOwlRank5Desc,"Great Gray Owl"
perkNightOwlRank5LongDesc,"Night Predator! Gain three levels of Intellect and Perception, and boost your max health by 25.\nCrouching during the night will also activate a moderate night vision."
perkAwarenessName,"Awareness"
perkAwarenessDesc,"Nothing escapes your sight."
perkAwarenessRank1Desc,"Almost Blind"
perkAwarenessRank1LongDesc,"Enemies will show as dots on the compass up to 5m away when crouched."
perkAwarenessRank2Desc,"Needs Glasses"
perkAwarenessRank2LongDesc,"Enemies will show as dots on the compass up to 10m away when crouched."
perkAwarenessRank3Desc,"Alert...ish"
perkAwarenessRank3LongDesc,"Enemies will show as dots on the compass up to 15m away when crouched."
perkAwarenessRank4Desc,"Never Blinking"
perkAwarenessRank4LongDesc,"Enemies will show as dots on the compass up to 20m away when crouched."
perkAwarenessRank5Desc,"Eagle Eye"
perkAwarenessRank5LongDesc,"Enemies will show as dots on the compass up to 25m away when crouched."
perkSniperName,"Sniper"
perkSniperDesc,"Use scopes as an extension of yourself."
perkSniperRank1Desc,"Recruit"
perkSniperRank1LongDesc,"When aiming with a scope, use 5% less stamine while dealing 5% more damage."
perkSniperRank2Desc,"Sport Shooter"
perkSniperRank2LongDesc,"Use 10% less stamina and hit 10% harder when scoped in."
perkSniperRank3Desc,"Well Trained"
perkSniperRank3LongDesc,"Aiming with a scope uses 15% less stamina and increases damage 15%."
perkSniperRank4Desc,"Professional"
perkSniperRank4LongDesc,"20% less stamina and 20% more damage when using a scope."
perkSniperRank5Desc,"Chris Kyle 2.0"
perkSniperRank5LongDesc,"Being scoped in uses 25% less stamina and gives you a 25% damage boost."
perkPenetratorRank2LongDesc,"Ignore 20% of armor with firearms, archery and spears.\nArmor-piercing rounds can penetrate an additional target or a block of up to 500 hit points when using Hunting, Marksman or Sniper Rifles."
perkPenetratorRank3LongDesc,"Ignore 30% of armor with firearms, archery and spears.\nArmor-piercing rounds can penetrate two additional targets or a block of up to 750 hit points when using Hunting, Marksman or Sniper Rifles."
perkPenetratorRank4Desc,"The Piercer"
perkPenetratorRank4LongDesc,"Ignore 40% of armor with firearms, archery and spears.\nArmor-piercing rounds can penetrate three additional targets or a block of up to 1000 hit points when using Hunting, Marksman or Sniper Rifles."
perkPenetratorRank5Desc,"The Penetrator"
perkPenetratorRank5LongDesc,"Ignore 50% of armor with firearms, archery and spears.\nArmor-piercing rounds can penetrate four additional targets or a block of up to 1250 hit points when using Hunting, Marksman or Sniper Rifles."
perkElectrocutionerRank3LongDesc,"You are getting dangerous with stun batons. You could probably knock out cattle if the zombies hadn't ate them all. Craft quality 4 good stun batons, deal 30% more damage, and stun victims 60% longer.\nUnlocks Cattle Prod crafting."
perkElectrocutionerRank5LongDesc,"You are the last thing they see coming and an executioner with stun batons. Craft quality 6 excellent stun batons. Deal 50% more damage and stun victims 100% longer."
perkPhysicianRank2Desc,"Nurse"
perkPhysicianRank2LongDesc,"Medical healing items heal 40% more health over time. Gain 60% more XP using bandages, first aid bandages, first aid kits and splints. Craft items 20% faster at chemistry stations.\nCan craft painkiller, Fort Bites and steroids."
perkPhysicianRank3Desc,"Doctor"
perkPhysicianRank3LongDesc,"Medical healing items heal 55% more health over time. Gain 80% more XP using bandages, first aid bandages, first aid kits and splints.\nCan craft first aid kits, Recog and Rad-Z."
perkPhysicianRank4Desc,"Surgeon"
perkPhysicianRank4LongDesc,"Medical healing items heal 75% more health over time. Gain 100% more XP using bandages, first aid bandages, first aid kits and splints. Craft items 40% faster at chemistry stations.\nCan craft Rad-B-Gone, anivenom and antibiotics."
perkPhysicianRank5Desc,"Miracle Worker"
perkPhysicianRank5LongDesc,"Miracle worker. Medical healing items heal 100% more health over time. Gain 150% more XP using bandages, first aid bandages, first aid kits and splints. Craft items 50% faster at chemistry stations.\nCan craft BeZerk, Braintats, and Happy-Go-Lucky."
perkAdvancedEngineeringRank4LongDesc,"Learn to craft shotgun turrets for short range concentrated base defense, battery banks and nail guns, as well as powered doors. Gain 35% XP from electrical trap kills.\nAll forge recipes cost 15% less, crafting Forged Steel and electrical devices costs 25% less."
perkNewAgeCowboyName,"New Age Cowboy"
perkNewAgeCowboyDesc,"Learn how to make and master energy weapons."
perkNewAgeCowboyRank1Desc,"Cobbled Together"
perkNewAgeCowboyRank1LongDesc,"Craft quality 2 poor energy weapons. Deal 10% more damage with them. Dismemberment increased by 5%. Ignore 15% of armor.\nUnlocks scrap laser pistol and ammo crafting."
perkNewAgeCowboyRank2Desc,"Laser Gunslinger"
perkNewAgeCowboyRank2LongDesc,"Craft quality 3 fair energy weapons. Deal 20% more damage with them. Dismemberment increased by 10%. Ignore 20% of armor.\nUnlocks laser pistol and ammo crafting."
perkNewAgeCowboyRank3Desc,"Laser Rifleman"
perkNewAgeCowboyRank3LongDesc,"Craft quality 4 good energy weapons. Deal 30% more damage with them. Dismemberment increased by 15%. Ignore 30% of armor.\nUnlocks laser rifle crafting."
perkNewAgeCowboyRank4Desc,"Plasma Gunslinger"
perkNewAgeCowboyRank4LongDesc,"Craft quality 5 great energy weapons. Deal 40% more damage with them. Dismemberment increased by 20%. Ignore 40% of armor.\nUnlocks plasma pistol and ammo crafting."
perkNewAgeCowboyRank5Desc,"Plasma Rifleman"
perkNewAgeCowboyRank5LongDesc,"Craft quality 6 excellent energy weapons. Deal 50% more damage with them. Dismemberment increased by 25%. Ignore 50% of armor.\nUnlocks plasma rifle and ammo crafting."
perkChemistName,"Chemist"
perkChemistDesc,"All the rush, with less of the crash!"
perkChemistRank1Desc,"Light User"
perkChemistRank1LongDesc,"Any drugs you take last 50% longer."
perkChemistRank2Desc,"Recreational Use"
perkChemistRank2LongDesc,"Any drugs you take last 100% longer."
perkChemistRank3Desc,"Addicted"
perkChemistRank3LongDesc,"Any drugs you take last 150% longer."
perkChemistRank4Desc,"Heavy User"
perkChemistRank4LongDesc,"Any drugs you take last 200% longer."
perkChemistRank5Desc,"Chem Abuser"
perkChemistRank5LongDesc,"Any drugs you take last 300% longer."
perkGunNutName,"Gun Nut"
perkGunNutDesc,"Learn how to make all kinds of cool mods for your guns."
perkGunNutRank1Desc,"Basics"
perkGunNutRank1LongDesc,"Learn how to craft Barrel Extender, Muzzle Brake, Retracting Stock, and Duckbill mods."
perkGunNutRank2Desc,"Mod Maker"
perkGunNutRank2LongDesc,"Learn how to craft Laser Sight, 2x Scope, Reflex Sight, Semi-Auto Trigger Group, Shotgun Choke, Shotgun Tube Extender Magazine mods."
perkGunNutRank3Desc,"Mod Enthusiast"
perkGunNutRank3LongDesc,"Learn how to craft 4x Scope, Suppressor, Burst Trigger Group, Bipod, Foregrip, Magazine Extender, and Flashlight mods."
perkGunNutRank4Desc,"Mod Man"
perkGunNutRank4LongDesc,"Learn how to craft Auto Trigger Group, Drum Magazine, Incinerator Large Tanks, Incinerator High Pressure Hoses, and Incinerator Smooth Bore Barrel mods."
perkGunNutRank5Desc,"Modsmith"
perkGunNutRank5LongDesc,"Learn how to craft 8x Scope, Cripple 'Em, Rad Remover, Rad Adder, and Blessed Metal mods."
perkGreaseMonkeyRank4LongDesc,"Nothing beats the safety and warmth of a nice 4x4 truck. You can craft 4x4 truck parts, more efficient stacks of gas cans and quality 4 car batteries. Craft 4x4 truck parts 33% cheaper.\nAlso unlocks the Police Car, Old Semi, and Ice Cream Truck crafting."
perkGreaseMonkeyRank5LongDesc,"Your tinkering desire is never satisfied and only a true genius could figure out how to take to the skies with scrap iron. Can craft gyrocopter parts and quality 5 car batteries. Craft gyrocopter parts 33% cheaper.\nAlso unlocks Vertibird crafting."
perkHighTechName,"High Tech"
perkHighTechDesc,"Learn how to make all kinds of cool mods for energy guns and power armor."
perkHighTechRank1Desc,"DIY"
perkHighTechRank1LongDesc,"Learn how to craft Power Armor Radar, Power Armor Block Buster, Power Armor Knuckles, and Overcharged Capacitor mods."
perkHighTechRank2Desc,"Solderer"
perkHighTechRank2LongDesc,"Learn how to craft Laser Scope, Plasma Scope, Power Armor Scuba, Power Armor Chest Plating, Power Armor Tesla Bracers, and Power Armor Gyros mods."
perkHighTechRank3Desc,"Grinder"
perkHighTechRank3LongDesc,"Learn how to craft Laser Splitter, Plasma Sniper Barrel, Power Armor Radar MK2, and Power Armor Jump Boost mods."
perkHighTechRank4Desc,"Welder"
perkHighTechRank4LongDesc,"Learn how to craft Laser Focuser, Power Armor Emergency Protocol, Power Armor Shocks, Power Armor Blood Filter, and Power Armor Impact Landing mods."
perkHighTechRank5Desc,"CNC Operator"
perkHighTechRank5LongDesc,"Learn how to craft Stun Baton Repulsor, Power Armor Night Vision, Power Armor Dampener, Power Armor Rad Resistant, and Power Armor Tesla Coil mods."
perkRagingNerdName,"Raging Nerd"
perkRagingNerdDesc,"Nerd. Is. ANGRY! When your health is low, gain damage resistance and deal more damage."
perkRagingNerdRank1Desc,"Nerd Anger"
perkRagingNerdRank1LongDesc,"When health is below 25%, damage output and resistance is increased by 15%."
perkRagingNerdRank2Desc,"Nerd Rage"
perkRagingNerdRank2LongDesc,"When health is below 25%, damage output and resistance is increased by 25%."
perkRagingNerdRank3Desc,"Nerd Fury"
perkRagingNerdRank3LongDesc,"When health is below 25%, damage output and resistance is increased by 35%."
perkRagingNerdRank4Desc,"Nerd Tank"
perkRagingNerdRank4LongDesc,"When health is below 25%, damage output and resistance is increased by 45%. Stamina regen is increased by 20%. Any kill will add 25 health."
perkRagingNerdRank5Desc,"Nerd Hulk"
perkRagingNerdRank5LongDesc,"When health is below 25%, damage output and resistance is increased by 50%. Stamina regen is increased by 25%. Any kill will add 35 health."
perkTurretsRank1LongDesc,"You have some crazy innovative ideas but your implementation could use some work. Craft poor quality 2 robots, deal 10% more damage, 30% faster fire rate and reload an extra 10 rounds. Robot active range is increased from 10 to 12 meters.\nYou can deploy multiple robots but only the closest will be active.\nUnlocks Robotic Sledge crafting."
perkTurretsRank2LongDesc,"You are taking your projects to the next level now. Craft fair quality 3 robots, deal 20% more damage, 60% faster fire rate and reload an extra 20 rounds. Robot active range is 14 meters."
perkTurretsRank3LongDesc,"You have mastered the basics of automated weaponry. Craft good quality 4 robotics, deal 30% more damage, 90% faster fire rate and reload an extra 30 rounds. Robot active range is 16 meters."
perkTurretsRank4LongDesc,"You must be from the year 2077. You are creating some futuristic technology. Craft great quality 5 robots, deal 40% more damage, 120% faster fire rate and reload an extra 40 rounds. Reload robot weapons 10% faster. Robot active range is 18 meters.\nTwo deployed robots can be active at once."
perkTurretsRank5LongDesc,"You are now a top expert in robotics. Craft excellent quality 6 robots. Reload robot weapons 20% faster and reload an extra 50 rounds. Robot active range is 20 meters.\nThree deployed robots can be active at once."
perkSexualTrexRank5Desc,"Viking Mauler"
perkSexualTrexRank5LongDesc,"You are now a viking mauler and have risen to the highest athletic prowess possible. Reduce melee and tool stamina usage by 30% and power attacks by 60%.\nKilling blows grant 40 stamina."
perkWellInsulatedRank2LongDesc,"You are resistant to some pretty intense weather and lose 30% less food and water when cold or overheating. Grants 15 insulation against both heat and cold."
perkWellInsulatedRank3LongDesc,"You are resistant to some pretty intense weather and lose 45% less food and water when cold or overheating. Grants 20 insulation against both heat and cold."
perkWellInsulatedRank4Desc,"Mostly Weather Resistant"
perkWellInsulatedRank4LongDesc,"You are resistant to some pretty intense weather and lose 50% less food and water when cold or overheating. Grants 25 insulation against both heat and cold."
perkWellInsulatedRank5Desc,"Extremely Weather Resistant"
perkWellInsulatedRank5LongDesc,"You can now handle severe weather and typically could care less what the weather conditions are. You will never have the more severe stages of temperature status effects. Lose 60% less food and water when cold or overheating. Grants 30 insulation against both heat and cold."
perkChemResistantName,"Chem Resistant"
perkChemResistantDesc,"All the benefits, none of the addiction."
perkChemResistantRank1Desc,"Low Tolerance"
perkChemResistantRank1LongDesc,"You have a 20% resistance to the negative effects of drugs."
perkChemResistantRank2Desc,"Weak Will"
perkChemResistantRank2LongDesc,"You have a 40% resistance to the negative effects of drugs."
perkChemResistantRank3Desc,"Moderate Tolerance"
perkChemResistantRank3LongDesc,"You have a 60% resistance to the negative effects of drugs."
perkChemResistantRank4Desc,"Strong Constitution"
perkChemResistantRank4LongDesc,"You have a 80% resistance to the negative effects of drugs."
perkChemResistantRank5Desc,"Addiction Immune"
perkChemResistantRank5LongDesc,"You have a 100% resistance to the negative effects of drugs."
perkSandmanName,"Sandman"
perkSandmanDesc,"Catch them offguard and put them to sleep, quietly."
perkSandmanRank1Desc,"Sneak Attack"
